,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
180,-0.181,0.118,0.04,0.224,-0.282,-0.293,-0.129,-0.202,0.113,-0.155,0.174,0.139,0.086
181,-0.223,0.092,-0.037,0.16,-0.104,-0.188,-0.193,-0.172,0.18,-0.23,-0.881,0.251,-1.2
182,-0.252,-0.109,-0.08,0.172,-0.174,-0.076,-0.155,-0.195,0.227,-0.093,0.062,0.231,-0.658
183,-0.123,0.131,-0.002,0.235,-0.193,-0.158,-0.039,-0.199,0.165,-0.138,-0.764,0.219,-0.098
184,-0.193,0.024,0.055,0.118,-0.206,0.072,0.063,-0.195,0.058,-0.18,-0.86,0.106,-0.167
185,-0.23,-0.086,-0.095,0.143,-0.2,0.127,0.11,-0.199,0.264,-0.067,0.096,0.17,-0.069
186,-0.23,0.025,0.058,0.125,-0.127,0.148,0.118,-0.163,0.064,-0.057,-0.935,0.15,-0.164
187,-0.126,0.08,0.019,0.124,-0.143,0.114,0.161,-0.141,0.135,-0.124,0.039,0.165,-0.14
188,-0.112,-0.111,-0.064,0.144,-0.186,0.211,0.137,-0.201,0.163,-0.112,-0.734,0.25,-0.169
189,-0.162,0.002,-0.041,0.082,-0.151,0.134,0.107,-0.121,0.127,-0.132,-1.16,0.27,-0.13
190,-0.173,0.11,0.083,0.139,-0.083,0.132,0.162,-0.134,0.134,-0.157,0.138,0.218,-0.074
191,-0.222,-0.14,0.05,0.149,-0.062,0.175,0.159,-0.123,0.163,-0.133,-0.883,0.2,-0.22
192,-0.137,-0.082,-0.099,0.118,-0.248,0.088,0.241,-0.24,0.267,-0.149,-0.039,0.119,-0.197
193,-0.175,0.061,0.018,0.147,-0.142,0.169,0.236,-0.084,0.225,-0.179,-0.438,0.178,-0.126
194,-0.297,-0.084,0.074,0.189,-0.136,0.165,0.19,-0.136,0.139,-0.178,-0.967,0.205,-0.109
195,-0.098,-0.047,-0.052,0.161,-0.113,0.154,0.166,-0.219,0.136,-0.128,0.081,0.186,-0.154
196,-0.154,0.137,-0.042,0.126,0.098,0.183,0.161,-0.233,0.132,-0.087,-0.959,0.132,-0.137
197,0.027,-0.076,0.114,0.182,0.109,0.166,0.183,-0.179,0.165,-0.168,-0.149,0.193,-0.133
198,0.142,-0.089,0.012,0.088,0.137,0.105,0.188,-0.226,0.135,-0.137,-0.107,0.198,-0.132
199,0.082,0.033,-0.074,0.117,0.191,0.194,0.119,-0.194,0.11,-0.06,-0.895,0.241,-0.131
200,0.193,0.016,-0.023,0.18,0.133,0.154,0.143,-0.166,-0.156,0.014,0.112,0.191,-0.175
201,0.132,-0.145,0.044,0.132,0.148,0.112,0.164,-0.186,-0.061,0.038,-0.901,0.172,-0.144
202,0.254,0.005,-0.008,0.153,0.126,0.303,0.204,-0.146,-0.166,0.178,-0.272,0.133,-0.189
203,0.252,0.05,-0.015,0.108,0.126,0.097,0.143,-0.101,-0.135,0.123,0.339,0.181,-0.079
204,0.201,-0.108,0.078,-0.29,0.149,0.202,0.169,-0.01,-0.159,0.202,-0.859,0.169,-0.141
205,0.209,-0.023,0.009,-0.151,0.139,0.165,0.172,-0.033,-0.164,0.167,0.113,-0.232,-0.105
206,0.207,0.061,-0.058,-0.16,0.147,0.181,0.199,0.093,-0.161,0.204,-0.915,-0.159,-0.061
207,0.222,-0.055,-0.029,-0.155,0.157,0.203,0.122,0.071,-0.158,0.226,-0.452,-0.157,-0.01
208,0.2,0.03,-0.046,-0.174,0.159,0.236,0.141,0.111,-0.139,0.104,0.207,-0.111,0.09
209,0.079,0.033,-0.004,-0.23,0.183,0.147,0.111,0.159,-0.117,0.222,-0.875,-0.112,0.083
210,0.162,-0.072,-0.016,-0.171,0.164,-0.196,0.032,0.176,-0.107,0.124,0.13,-0.08,0.183
211,0.223,-0.085,-0.043,-0.162,0.206,-0.076,-0.201,0.121,-0.193,0.194,-0.877,-0.185,0.128
212,0.203,-0.193,-0.033,-0.189,0.265,-0.064,-0.142,0.18,-0.117,0.172,-0.873,-0.157,0.201
213,0.232,-0.122,-0.015,-0.13,0.205,-0.155,-0.153,0.134,-0.146,0.103,0.152,-0.118,0.168
214,0.161,-0.18,0.04,-0.154,0.168,-0.132,-0.19,0.215,-0.14,0.199,-0.95,-0.18,0.106
215,0.179,-0.221,-0.077,-0.155,0.231,-0.202,-0.24,0.251,-0.2,0.137,-0.017,-0.148,0.141
216,0.307,-0.18,0.034,-0.132,0.115,-0.169,-0.09,0.176,-0.162,0.175,-0.718,-0.116,0.127
217,0.128,-0.178,0.032,-0.116,0.192,-0.195,-0.14,0.168,-0.238,0.15,-1.194,-0.22,0.214
218,0.206,-0.235,-0.079,-0.166,0.117,-0.215,-0.141,0.147,-0.155,0.156,0.126,-0.083,0.162
219,0.236,-0.233,0.0,-0.09,0.175,-0.156,-0.175,0.182,-0.101,0.162,-0.96,-0.103,0.14
220,0.13,-0.244,-0.009,-0.158,0.138,-0.183,-0.182,0.135,-0.129,0.166,-0.001,-0.154,0.138
221,0.212,-0.141,0.026,-0.162,0.069,-0.208,-0.118,0.269,-0.134,0.162,-0.008,-0.199,0.11
222,0.169,-0.18,-0.032,-0.084,-0.025,-0.15,-0.153,0.184,-0.11,0.162,0.045,-0.194,0.135
223,0.103,-0.24,-0.015,-0.163,-0.255,-0.17,-0.116,0.14,-0.172,0.221,0.081,-0.147,0.099
